THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Politics and protest,Okie from Muskogee,Merle Haggard,1969,http://open.spotify.com/track/1BlR9w48cl5fBtebabidTM
Life and death,Workinâ€™ Manâ€™s Blues,Merle Haggard,"1,969.00",http://open.spotify.com/track/5TJ2aQyvZIexiWunUdKxka
Love,Angel of the Morning,Merrilee and the Turnabouts,1968,
Life and death,Fade to Black,Metallica,1984,
Sex,Electric Feel,MGMT,"2,008.00",http://open.spotify.com/track/2eGHyarZyRvUgFI4d3G8GN
Party songs,Kids,MGMT,2008,http://open.spotify.com/track/2IAcYOEnZWTn3yR6LDslRY
Party songs,Paper Planes (DFA remix),MIA,2008,http://open.spotify.com/track/2UZ6MDDg3y5fTAzQU3YYfo
Party songs,Donâ€™t Stop â€™Til You Get Enough,Michael Jackson,1979,http://open.spotify.com/track/5NWKkTdkHSZalDaorymVHQ
Party songs,Off the Wall,Michael Jackson,1979,http://open.spotify.com/track/2qfiBST2NqT6PXnwaW9Gbn
Politics and protest,On the Blanket,Mick Hanly with Christy Moore,1980,
People and places,Tribute to Buddy Holly,Mike Berry and the Outlaws,1961,
Sex,Summer (The First Time),Millie Jackson,1974,
Sex,Inside My Love,Minnie Riperton,1975,http://open.spotify.com/track/3oxLJ747VFQTlAdrVMpznH
People and places,Stack Oâ€™ Lee,Mississippi John Hurt,1928,http://open.spotify.com/track/2s4dwHpeGqoXNUXoyXyG1O
Sex,Work It,Missy Elliott,2002,http://open.spotify.com/track/5p3WoFtEm7HrRp8lKxKICu
Sex,One Minute Man,Missy Elliott,2001,http://open.spotify.com/track/4SZG38k0cKCMrmpu2mPpD2
Party songs,4 My People,Missy Elliott,2001,http://open.spotify.com/track/2er94TdlKpJSMZSc8qha09
People and places,Jenny Take a Ride ,Mitch Ryder and the Detroit Wheels,1965,http://open.spotify.com/track/5mgDZhN7E1nau6ZH2ENmUH
Heartbreak,Jaan Pehechaan Ho,Mohammed Rafi,1965,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
Heartbreak,"The More You Ignore Me, The Closer I Get",Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
Sex,Heads High,Mr Vegas,1998,http://open.spotify.com/track/4LCmlA4r2kaQ5d5Hld8y26
Life and death,King Creosote,My Favourite Girl,2005,http://open.spotify.com/track/4oBGNxAAZzpPh1FiA6BPxj
Sex,Khia,"My Neck, My Back (Lick It)",2002,http://open.spotify.com/track/0XPLAWXQ03Tlk94CltCj9S
People and places,Jackson,Nancy Sinatra and Lee Hazlewood,1967,http://open.spotify.com/track/56LjYK1rKum8m1L7aIdfm4
Sex,Some Velvet Morning,Nancy Sinatra and Lee Hazlewood,1967,http://open.spotify.com/track/2X89x2pEAeDgSIK3ag1jHU
Life and death,Lifeâ€™s a Bitch,Nas,1994,http://open.spotify.com/track/6s9Nl0vMsUhdYO1fbmrGQO
People and places,(Get Your Kicks On) Route 66,Nat King Cole,1946,http://open.spotify.com/track/3k0jloXIBRigk9z7TSxr48
Life and death,Feel It (In the Air Tonight),Naturally 7,2006,http://open.spotify.com/track/5tr7iRvlbeXhJxCsYpleIb
Sex,OPP,Naughty by Nature,1991,http://open.spotify.com/track/70zkTsvURu74HmCrEja7e4
Life and death,Bert Jansch,Needle of Death,1965,http://open.spotify.com/track/2Er04cz8zf7sjBd2e3v54g
Politics and protest,Rockinâ€™ in the Free World,Neil Young,1989,http://open.spotify.com/track/66DoazlvE7LmUT47pfLQam
Love,Like a Hurricane,Neil Young,1977,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ
Heartbreak,A Man Needs a Maid,Neil Young,1972,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw
Love,Only Love Can Break YourÂ Heart,Neil Young,1970,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye
Politics and protest,Southern Man,Neil Young,1970,http://open.spotify.com/track/1JqNtFOi0K8xUpfeNHMPJz
Party songs,Hot in Herre,Nelly,2002,http://open.spotify.com/track/652F9V2xyoY43Pj8urZ4zM
Party songs,True Faith,New Order,1987,http://open.spotify.com/track/1n8WaWEUZx3GeknGwh02DC
Sex,Bizarre Love Triangle,New Order,1986,http://open.spotify.com/track/3IZYwVzsjbyw4QxbDmR3Sf
Heartbreak,Blue Monday,New Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Heartbreak,Far From Me,Nick Cave,1997,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE
Love,Deanna,Nick Cave and the Bad Seeds,1988,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
Life and death,The Mercy Seat,Nick Cave and the BadÂ Seeds,1988,http://open.spotify.com/track/7i4motUtsM4VFIH5XEPJRR
Life and death,Black Eyed Dog,Nick Drake,1986,http://open.spotify.com/track/5QU5nNPIPvNS0NtWLNfcuO
People and places,I Guess the Lord Must Be in New York City,Nilsson,1969,http://open.spotify.com/track/6gu59Q2p1Zkx2jkMdJYO1X
Party songs,Gin House Blues,Nina Simone,1975,http://open.spotify.com/track/0aGprKPHGtQyQZ9RCQ9mNI
Politics and protest,"To Be Young, Gifted and Black",Nina Simone,1970,http://open.spotify.com/track/3btkTbTgRXJjVSwSC3RHZe
Life and death,Feeling Good,Nina Simone,1965,http://open.spotify.com/track/0XaVWd4MhlnxT6uUpFV501
Sex,Closer,Nine Inch Nails,1994,http://open.spotify.com/track/5mHiMTaFI51iB533K7qjzG
Life and death,Lithium,Nirvana,1991,http://open.spotify.com/track/2DrEeo4eMULdAVe1U7P9PB
Politics and protest,Days of Fire,Nitin Sawhney,2008,
Life and death,Spirit in the Sky,Norman Greenbaum,1969,
Politics and protest,Fuck tha Police,NWA,1988,http://open.spotify.com/track/5Fdj7YRwgfP6HcIK0e8NP1
Party songs,Cigarettes and Alcohol,Oasis,1994,
Party songs,Got Your Money,Olâ€™ Dirty Bastard,1999,
Life and death,Neil Young,Old Man,1972,http://open.spotify.com/track/2AylP2SrOxus7LieLnzUQG
Life and death,Satan,Orbital,1991,
Life and death,(Sittinâ€™ On) The Dock of the Bay,Otis Redding,1968,http://open.spotify.com/track/0y8h1AJzI4y7UxzX5xdVpo
Party songs,Hey Ya!,OutKast,2003,http://open.spotify.com/track/4QhYssD3qdSGd5yqW0h7cI
Life and death,Ms Jackson,OutKast,2000,http://open.spotify.com/track/7KAERELHmBqhdmVJHcgSrb
Sex,I Want My Cock,Owen and Leon,1965,
Heartbreak,Crazy,Patsy Cline,1961,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
Love,Itâ€™ll All Come Around,Patsy Gallant,1978,
Love,Frederick,Patti Smith,1979,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3
Life and death,Piss Factory,Patti Smith,1974,http://open.spotify.com/track/4jue8yd6Ct7191KkADXyzO
Politics and protest,19,Paul Hardcastle,1985,http://open.spotify.com/track/1xZchmfxPkalmqr9i0E138
Love,My Love,Paul McCartney and Wings,1973,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN
People and places,Graceland,Paul Simon,1986,http://open.spotify.com/track/0aeaKHM4KCULhqKk4QZzjT
People and places,The Late Great Johnny Ace,Paul Simon,1983,http://open.spotify.com/track/5ach2WWI5RD1FOjDArNlRh
Heartbreak,50 Ways to Leave Your Lover,Paul Simon,1975,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
Life and death,Me and Julio Down By the Schoolyard,Paul Simon,1972,http://open.spotify.com/track/1XU3s83WnD0EZh6KZHNLEX
Love,You Do Something to Me,Paul Weller,1995,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK
People and places,Wild Wood,Paul Weller,1993,http://open.spotify.com/track/6YV6egaDLNWSxHenzsWE1y
Life and death,Moon On Your Pyjamas,Paul Weller,1993,
Life and death,23 Years Ago,Paul Westerberg,2004,http://open.spotify.com/track/40C20xZeOnu64jvXMTJ1ZL
Sex,Fuck the Pain Away,Peaches,2000,http://open.spotify.com/track/1XHFob24QklIXtLRopKirJ
Politics and protest,Iâ€™m Gonna Be an Engineer,Peggy Seeger,1973,http://open.spotify.com/track/1bXhsrCeznTkbigKIqVIQq
People and places,Bruton Town,Pentangle,1968,http://open.spotify.com/track/2pqiemaVZ6QjRYH5cPCfax
Love,True Love Travels on a Gravel Road,Percy Sledge,1969,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn
People and places,Kingâ€™s Cross,Pet Shop Boys,1987,
People and places,West End Girls,Pet Shop Boys,1985,http://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s
Politics and protest,We Shall Overcome,Pete Seeger,1963,http://open.spotify.com/track/4LLjj2lFgaSWsHw7uWDqDj
Sex,Sledgehammer,Peter Gabriel,1986,
People and places,Solsbury Hill,Peter Gabriel,1977,
Politics and protest,Legalize It,Peter Tosh,1976,http://open.spotify.com/track/3j4f5c97RD6GxVeUySXyUd
Heartbreak,Against All Odds (Take a Look at Me Now),Phil Collins,1984,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
Politics and protest,I Ainâ€™t Marching Anymore,Phil Ochs,1965,http://open.spotify.com/track/1IA8LarhcLMkwsI7wP0QQl
Party songs,Acid Tracks,Phuture,1987,
Party songs,Papaâ€™s Got a Brand New Pigbag,Pigbag,1981,http://open.spotify.com/track/1t1kkvAe1iP5Xa6vCv3j9Z
Life and death,"Another Brick in the Wall, Part II",Pink Floyd,1979,
People and places,Shine on You Crazy Diamond,Pink Floyd,1975,
Party songs,Witness the Pitness,Pitman,2002,
Politics and protest,Monkey Gone to Heaven,Pixies,1989,http://open.spotify.com/track/2VX2QRAGKPyqMZU8cFZ3Ib
Sex,Gigantic,Pixies,1988,http://open.spotify.com/track/2WajMsuB3N7cv5SF12NJeX
People and places,Somewhere,PJ Proby,1964,http://open.spotify.com/track/5lz5nAO1HA7nntRU5k0IzH
Party songs,Dat,Pluto Shervington,1976,
Life and death,Glory Box,Portishead,1994,http://open.spotify.com/track/1kP7mnqqSsCxmIqHnr2m20
Life and death,Sour Times,Portishead,1994,http://open.spotify.com/track/0vKW55N3nrlWCD4U3YTwaH
Party songs,Loaded,Primal Scream,1991,http://open.spotify.com/track/5uWCPq3jVOuiun7Uku3wiU
Politics and protest,Come Together,Primal Scream,1990,http://open.spotify.com/track/47VwP5BLMrkHLNX7Dx4f8L
Sex,If I Was Your Girlfriend,Prince,1987,http://open.spotify.com/track/6K3bHdKpYnFsWf0TpoEm1E
Politics and protest,Sign oâ€™ the Times,Prince,1987,http://open.spotify.com/track/4Yenz5JZZOUiZSeyKY8bDz
Heartbreak,When Doves Cry,Prince,1984,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
Party songs,Letâ€™s Go Crazy,Prince,1984,http://open.spotify.com/track/7050AA1cNN8s3482pgx2bO
Sex,Little Red Corvette,Prince,1983,http://open.spotify.com/track/5sjTUwMJeAzGSCmpYJzgd4
Party songs,1999,Prince,1983,http://open.spotify.com/track/4CEKJRYtYDp0GPzw9JGZYX
Sex,Kiss,Prince and the Revolution,1986,http://open.spotify.com/track/1XoOSVy4rHDyd6u8XbZ0s5
Sex,Darling Nikki,Prince and the Revolution,1984,http://open.spotify.com/track/7bBT7pJXCyH5i7Y3AaiUNW
Politics and protest,Fight the Power,Public Enemy,1989,http://open.spotify.com/track/3WsrkrLMD8vWmz5RyD6n9e
Politics and protest,Bring the Noise,Public Enemy,1987,http://open.spotify.com/track/7Lc8L0BZVmxKT57OhQQesA
People and places,Common People,Pulp,1995,http://open.spotify.com/track/3gc4sAYBuZDhbFfnauPqOf
Party songs,Sorted for Es and Wizz,Pulp,1995,http://open.spotify.com/track/6DEakx9CewGzF3u9UEyJvD
Sex,Do You Remember the FirstÂ Time?,Pulp,1994,http://open.spotify.com/track/3rhITD3Q7qlOMCebBTHL8N
Sex,Babies,Pulp,1992,http://open.spotify.com/track/2g958u66qASAxbzoO5Vva3
Sex,Sheffield: Sex City,Pulp,1992,http://open.spotify.com/track/75DYVxFFKJ9sHiGlVB3vT9
Love,Youâ€™re My Best Friend,Queen,1975,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW
Party songs,Now Iâ€™m Here,Queen,1974,http://open.spotify.com/track/0s0i59YQo6TBJXEvxkoIfU
Party songs,Feel Good Hit of the Summer,Queens of the Stone Age,2000,http://open.spotify.com/track/48l5x5ghGRhz10rbuKrI0n
Love,Mehbooba Mehbooba,R D Burman,1975,
Sex,Ignition (Remix),R Kelly,2003,http://open.spotify.com/track/7uN7snLDoM1WTmMcTxNreb
Life and death,Paranoid Android,Radiohead,1997,http://open.spotify.com/track/2EuMREhmnIPQFaqXUH5yPu
Politics and protest,Killing in the Name,Rage Against the Machine,1992,http://open.spotify.com/track/2bzT8XRcAaQ3IZdrT6RogY
Life and death,O Death,Ralph Stanley,2000,
People and places,A Few Words in Defense of Our Country,Randy Newman,2008,http://open.spotify.com/track/1IWtqdxdgO1ThXjfjXnsSU
Love,Youâ€™ve Got a Friend,Randy Newman,1995,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9
People and places,I Love LA,Randy Newman,1983,
People and places,Baltimore,Randy Newman,1977,
Politics and protest,Short People,Randy Newman,1977,http://open.spotify.com/track/6emIUUgOV0lPgUYbJ1RZ7I
Party songs,Short People,Randy Newman,1977,http://open.spotify.com/track/6emIUUgOV0lPgUYbJ1RZ7I
Sex,You Can Leave Your Hat On,Randy Newman,1972,http://open.spotify.com/track/6g15icndZ6ig2CtKcayHHx
Life and death,Godâ€™s Song (Thatâ€™s Why I LoveÂ Mankind),Randy Newman,1972,http://open.spotify.com/track/0gvmUlKbABaYKEtOV40aA8
Party songs,Shake Your Tailfeather,Ray Charles,1980,
People and places,Georgia on My Mind,Ray Charles,1960,http://open.spotify.com/track/5pnvs9jplQQE7uxdyHhTta
People and places,Lonely Avenue,Ray Charles,1956,http://open.spotify.com/track/43mBBdRU6GfinobxcDyufp
Love,I Got a Woman,Ray Charles,1954,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
Heartbreak,Everybody Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
Heartbreak,The One I Love,REM,1987,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
Politics and protest,Fall On Me ,REM,1986,http://open.spotify.com/track/3HiNG3o66L2FbsM8Y7Sg6D
Sex,Nude Photo,Rhythim Is Rhythim,1987,
Life and death,The End of the Rainbow,Richard and Linda Thompson,1974,http://open.spotify.com/track/4A1SdZ4anubLlSu1NRtQuZ
People and places,Coles Corner,Richard Hawley,2005,http://open.spotify.com/track/5kGdayTmguCAZP87F56DUg
Politics and protest,Dadâ€™s Gonna Kill Me,Richard Thompson,2007,http://open.spotify.com/track/65fzTuQr4DhjQATlRq0u8Q
Party songs,Back to My Roots,Richie Havens,1981,http://open.spotify.com/track/6PFsub5iIJwrBb8qBRqmiV
Sex,Super Freak,Rick James,1981,http://open.spotify.com/track/00FCfK15gIqylm8xeO4pjx
Love,Umbrella,Rihanna,2007,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI
Heartbreak,No Regrets,Robbie Williams,1998,http://open.spotify.com/track/2h4Lh23FF8OQ8uGBnOdepy
People and places,Cross Road Blues,Robert Johnson,1936,
Politics and protest,Shipbuilding,Robert Wyatt,1982,
Love,Killing Me Softly With HisÂ Song,Roberta Flack,1973,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u
Sex,Da Ya Think Iâ€™m Sexy,Rod Stewart,1978,http://open.spotify.com/track/42GthmiW6mIvcyaJHdMk30
Politics and protest,The Killing of Georgie (Part I and II),Rod Stewart,1976,http://open.spotify.com/track/1VcmUcqIu77SOnRjAvbFTc
Love,Mandolin Wind,Rod Stewart,1971,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU
Heartbreak,Maggie May,Rod Stewart,1971,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC
Party songs,Witness (1 Hope),Roots Manuva,2001,http://open.spotify.com/track/1qNpcgSkAWWbIBDDkwkqH1
Party songs,Car Wash,Rose Royce,1976,http://open.spotify.com/track/1tJtx09XQnxaynZLOaTNfZ
Sex,In Every Dream Home aÂ Heartache,Roxy Music,1973,http://open.spotify.com/track/3Wkho6tesTh4aF80T6evqH
Party songs,Virginia Plain,Roxy Music,1972,http://open.spotify.com/track/6b4wMiPcl21hL8owVgIshi
People and places,Chicago,Roy Ayers,1983,http://open.spotify.com/track/6mWaJR3Wz8XcujkKd48oy6
Politics and protest,Stand Up for Judas,Roy Bailey,1979,
Party songs,Gabriel,Roy Davis Jr,1998,
Love,"Oh, Pretty Woman",Roy Orbison,1964,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0
People and places,Blue Bayou,Roy Orbison,1963,http://open.spotify.com/track/5GdSlf0Of1E67soyYauE1i
Heartbreak,Crying,Roy Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
People and places,Domino,Roy Orbison,1956,http://open.spotify.com/track/12NYyFxVvXaa8XIZEErs2D
Party songs,Once You Get Started,Rufus featuring Chaka Khan,1974,http://open.spotify.com/track/5jAhlLUmtIBRTzM3f1Im6r
People and places,Taxes on the Farmer Feeds Us All,Ry Cooder,1972,
People and places,"New York, New York",Ryan Adams,2001,http://open.spotify.com/track/6n0uVCp7GKgS0N7yCiIjYG
Heartbreak,Call Me on Your Way Back Home,Ryan Adams,2000,
Party songs,Runaway,Salsoul Orchestra,1977,
Sex,Letâ€™s Talk About Sex,Salt-n-Pepa,1990,
Sex,"Hold On, Iâ€™m Cominâ€™",Sam and Dave,1966,http://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB
Politics and protest,A Change Is Gonna Come,Sam Cooke,1964,http://open.spotify.com/track/7aXPwuC5qjhT0ddjHqe64o
Love,Cupid,Sam Cooke,1961,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
People and places,Chain Gang,Sam Cooke,1960,http://open.spotify.com/track/2v3StB7FS2bUZNSWWInRN7
People and places,Things Are Worse in Russia,Sam Mayo,1922,
Party songs,Baby Letâ€™s Dance Together,Sapan Chakraborty,1978,
Life and death,I Seen a Man Die,Scarface,1994,
Politics and protest,The Old Manâ€™s Back Again (Dedicated to the Neo-Stalinist Regime),Scott Walker,1969,http://open.spotify.com/track/23LS90srRC3n86OWgUBUQx
Life and death,My Death,Scott Walker,1967,http://open.spotify.com/track/4mL9NVLLrBJz1kmrM2M5qd
Life and death,I Hear Voices,Screaminâ€™ Jay Hawkins,1962,http://open.spotify.com/track/5kM2F1fbpN9wPhYhVOPDTv
Party songs,On My Radio,Selector,1979,http://open.spotify.com/track/3Qmtadha85zkLH1H9EGi3u
Politics and protest,God Save the Queen,Sex Pistols,1977,http://open.spotify.com/track/7mkLlx81e3LaCrPVZYOBCT
Politics and protest,Anarchy in the UK,Sex Pistols,1976,http://open.spotify.com/track/7KwdlMKVUyMsyrL523djBl
Politics and protest,If the Kids Are United,Sham 69,1977,http://open.spotify.com/track/2ZybCRD7fboSUv7HkXyjuN
Sex,Give Him a Great Big Kiss,Shangri-Las,1965,http://open.spotify.com/track/5eByLONVak5rrPBnS29nWn
Party songs,Let the Music Play,Shannon,1983,http://open.spotify.com/track/5RgGHpa9S3txqJTxyRChx4
Politics and protest,The Internationale,Sheffield Socialist Choir,1992,
People and places,The Banks of the Sweet Primroses,Shirley Collins,1967,
Party songs,The Clapping Song,Shirley Ellis,1965,
Love,Bridge Over Troubled Water,Simon and Garfunkel,1970,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi
People and places,Mrs Robinson,Simon and Garfunkel,1968,http://open.spotify.com/track/6J1sj9dcEM91H80NIz1Gpo
People and places,Homeward Bound,Simon and Garfunkel,1966,http://open.spotify.com/track/0MhdnZTAPZmdEWa3alX8eM
Heartbreak,Nothing Compares 2 U,Sinead Oâ€™Connor,1990,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
Party songs,Lost in Music,Sister Sledge,1979,http://open.spotify.com/track/3FnkIp37lBYvHljKemR6zp
Party songs,Heâ€™s the Greatest Dancer,Sister Sledge,1979,http://open.spotify.com/track/5MuNxNox3zTanAFIO5KcTl
Party songs,I Wish,Skee-Lo,1995,
Heartbreak,Devil Got My Woman,Skip James,1931,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
Politics and protest,"Donâ€™t Call Me Nigger, Whitey",Sly and the Family Stone,1969,http://open.spotify.com/track/2go5vzzDZP7KBrjQXK4KLr
Party songs,Dance to the Music,Sly and the Family Stone,1968,http://open.spotify.com/track/6W9t1lhkATr4XrnXXgL2CV
Sex,Rene,Small Faces,1968,
Life and death,Dress Sexy at My Funeral,Smog,2000,
Heartbreak,Left Only With Love,Smog,1998,
Love,Youâ€™ve Really Got a Hold On Me,Smokey Robinson and the Miracles,1962,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A
Heartbreak,Brown Skin Woman,Snooks Eaglin,1962,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
Party songs,Memorabilia,Soft Cell,1982,http://open.spotify.com/track/6nePlBdKTESydzjOEHt6vX
Love,Everybody Needs SomebodyÂ to Love,Solomon Burke,1964,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
Politics and protest,Swimsuit Issue,Sonic Youth,1992,http://open.spotify.com/track/0imXml1hX6wo9xGfCV6n8M
Life and death,100%,Sonic Youth,1992,http://open.spotify.com/track/22FuG2QEbazTAzzSBOULk4
Love,I Got You Babe,Sonny and Cher,1965,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ
Love,You Gotta Come a Little Closer,Soul Brothers Six,1973,
Sex,Wreck a Buddy,Soul Sisters,1969,http://open.spotify.com/track/5y8N3Wr5bLv40PdFK3oC54
Politics and protest,Revolution,Spacemen 3,1989,
Party songs,Beat the Clock,Sparks,1979,
Party songs,Cocktails for Two,Spike Jones and His City Slickers,1944,http://open.spotify.com/track/3JmwSgu1vxYXdblOJMXUQz
Heartbreak,Broken Heart,Spiritualized,1997,
People and places,Up the Junction,Squeeze,1979,http://open.spotify.com/track/1zWLu0Glg7glW6ulCfDbeN
Heartbreak,Emily,Stephen Fretwell,2004,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
Politics and protest,Monster,Steppenwolf,1969,http://open.spotify.com/track/5gN9AKEIJgccrIBBMCKs68
People and places,Born to Be Wild,Steppenwolf,1968,http://open.spotify.com/track/78OcvMkLFsRp5AJsRexfPX
Politics and protest,John Walkerâ€™s Blues,Steve Earle,2002,
Life and death,Lonelier Than This,Steve Earle,2000,
People and places,The Mountain,Steve Earle,1999,
Heartbreak,Goodbye,Steve Earle,1996,
Love,The Dutchman,Steve Goodman,1973,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
People and places,Master Blaster (Jammin),Stevie Wonder,1980,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW
Politics and protest,You Havenâ€™t Done Nothinâ€™,Stevie Wonder,1974,http://open.spotify.com/track/6iNsJeA9xAbfiGAOzsI93H
People and places,Living for the City,Stevie Wonder,1973,http://open.spotify.com/track/1XtEFMgU5u5yHa5N4GxIbA
Life and death,Donâ€™t You Worry â€˜Bout a Thing,Stevie Wonder,1973,
Politics and protest,Suspect Device,Stiff Little Fingers,1978,http://open.spotify.com/track/7Ig7b1MJJKbNyTxLU6u9rZ
Party songs,SueÃ±o Latino,SueÃ±o Latino,"1,989.00",
Sex,Animal Nitrate,Suede,1993,http://open.spotify.com/track/5MQ5IbHbvjVvbKGXuwpu0b
Sex,The Drowners,Suede,1992,http://open.spotify.com/track/05eSuaEKkmlvf0svK1QW1v
Politics and protest,The Man Donâ€™t Give a Fuck,Super Furry Animals,1996,http://open.spotify.com/track/00QZGqUswem6nUiqAKs6Po
Party songs,You Make Me Feel (Mighty Real),Sylvester,1978,http://open.spotify.com/track/0DY0B9PkxKFVs0YagNcAC4
Politics and protest,BYOB,System Of A Down,2005,http://open.spotify.com/track/5b5R8oiVflR4vW9sFc8q3W
Sex,Get It On,T Rex,1971,http://open.spotify.com/track/53sjKpBzCxzmkQIaB0Sbq3
Party songs,Do What You Wanna Do,T-Connection,1977,http://open.spotify.com/track/5PzK3L2Lm4mbo0H89CAWzg
Heartbreak,Back for Good,Take That,1995,http://open.spotify.com/track/1cnoj3gWltCrWBZ77jZtmj
Politics and protest,The Proud,Talib Kweli,2002,http://open.spotify.com/track/5TrG4AXuPoVnw7QQnira5J
Life and death,Once in a Lifetime,Talking Heads,1980,http://open.spotify.com/track/7CIYGsVYYqUyNnwmU2bc32
Life and death,Psycho Killer,Talking Heads,1977,http://open.spotify.com/track/1F9RobwaMi1mimBs0hW3kB
Heartbreak,D-I-V-O-R-C-E,Tammy Wynette,1968,
Party songs,Shout,Tears for Fears,1984,http://open.spotify.com/track/4E1n2cvH7Wb7xZ568rHHNy
Life and death,Seasons in the Sun,Terry Jacks,1974,
People and places,We Gotta Get Out of This Place,The Animals,1965,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY
Party songs,Re-Rewind,The Artful Dodger featuring Craig David,1999,http://open.spotify.com/track/0rKbtHLiAeta9tnONNYlAC
Party songs,Love Shack,The B-52â€™s,1989,http://open.spotify.com/track/0OyTSpN4gGPSIDuGbKzMEu
Politics and protest,A Day in the Life of a Tree,The Beach Boys,1971,http://open.spotify.com/track/69PvvnBElTbIFHVt9ue58Q
Love,God Only Knows,The Beach Boys,1966,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
Love,Good Vibrations,The Beach Boys,1966,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
Love,Wouldnâ€™t It Be Nice,The Beach Boys,1966,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
People and places,"Fun, Fun, Fun",The Beach Boys,1964,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D
Life and death,In My Room,The Beach Boys,1963,http://open.spotify.com/track/0sL9QSjcOMNdU829l7pNb0
Politics and protest,Stand Down Margaret,The Beat,1980,http://open.spotify.com/track/3Yhr8WrFPnwBFwxhFLUwzh
Love,Something,The Beatles,1969,
Politics and protest,Revolution,The Beatles,1968,
Life and death,Yer Blues,The Beatles,1968,
Love,With a Little Help from MyÂ Friends,The Beatles,1967,
People and places,Penny Lane,The Beatles,1967,
People and places,Sheâ€™s Leaving Home,The Beatles,1967,
People and places,Strawberry Fields Forever,The Beatles,1967,
Politics and protest,I Am the Walrus,The Beatles,1967,
People and places,Eleanor Rigby,The Beatles,1966,
People and places,Doctor Robert,The Beatles,1966,
Love,Girl,The Beatles,1965,
Heartbreak,Youâ€™ve Got to Hide Your Love Away,The Beatles,"1,965.00",
People and places,Drive My Car,The Beatles,1965,
Sex,Another Girl,The Beatles,1965,
Sex,Norwegian Wood (This Â BirdÂ Has Flown),The Beatles,1965,
Life and death,Yesterday,The Beatles,1965,
Love,Eight Days a Week,The Beatles,1964,
Love,I Want to Hold Your Hand,The Beatles,1963,
Love,She Loves You,The Beatles,1963,
Love,Song for Whoever,The Beautiful South,1989,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
Love,How Deep is Your Love?,The Bee Gees,1977,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
Life and death,Happiness,The Blue Nile,1996,http://open.spotify.com/track/4QNFOoqcwSW0gH9JURiPnV
Sex,Triad,The Byrds,1968,http://open.spotify.com/track/3Vcbq1XGXbvwXT9wC4XJjj
Life and death,Goinâ€™ Back,The Byrds,1968,http://open.spotify.com/track/27sI9GC4xswPEHxBDZU7lZ
